0	"	PU	PUNC	B_CLS	B_SENT	N	-
1	เทพไท	NN	NCMN	I_CLS	I_SENT	N	-
2	"	PU	PUNC	I_CLS	I_SENT	N	-
3	_	PU	NCMN	I_CLS	I_SENT	N	-
4	ชี้	VV	VACT	I_CLS	I_SENT	N	-
5	_	PU	NCMN	I_CLS	I_SENT	N	-
6	นปช.	NN	NCMN	I_CLS	I_SENT	N	-
7	ระบุ	VV	VACT	I_CLS	I_SENT	N	-
8	ยอด	NN	NCMN	I_CLS	I_SENT	N	-
9	รายชื่อ	NN	NCMN	I_CLS	I_SENT	N	-
10	ถวาย	VV	NCMN	I_CLS	I_SENT	N	-
11	ฎีกาก	NN	NCMN	I_CLS	I_SENT	N	-
12	ว่า	CC	JSBR	E_CLS	I_SENT	N	-
13	_	PU	NCMN	O	I_SENT	N	-
14	5	NU	DCNM	B_CLS	I_SENT	N	-
15	_	PU	PUNC	I_CLS	I_SENT	N	-
16	ล้าน	NU	NCMN	I_CLS	I_SENT	N	-
17	คน	CL	CNIT	I_CLS	I_SENT	N	-
18	_	PU	NCMN	I_CLS	I_SENT	N	-
19	อาจ	AX	XVMM	I_CLS	I_SENT	N	-
20	เป็น	VV	VSTA	I_CLS	I_SENT	N	-
21	การ	FX	FIXN	I_CLS	I_SENT	N	-
22	โฆษณา	VV	VACT	I_CLS	I_SENT	N	-
23	ชวน	VV	NCMN	I_CLS	I_SENT	N	-
24	เชื่อ	VV	VSTA	E_CLS	I_SENT	N	-

25	โฆษก	NN	NCMN	B_CLS	B_SENT	N	-
26	ประจำ	VV	VSTA	I_CLS	I_SENT	N	-
27	ตัว	NN	NCMN	I_CLS	I_SENT	N	-
28	หัวหน้า	NN	NCMN	I_CLS	I_SENT	N	-
29	พรรค	NN	NCMN	I_CLS	I_SENT	N	-
30	ประชาธิปัตย์	NN	NCMN	I_CLS	I_SENT	N	-
31	ตั้ง	VV	VACT	I_CLS	I_SENT	N	-
32	ข้อ	NN	NCMN	I_CLS	I_SENT	N	-
33	สังเกต	VV	NCMN	I_CLS	I_SENT	N	-
34	กลุ่ม	NN	NCMN	I_CLS	I_SENT	N	-
35	_	PU	NCMN	I_CLS	I_SENT	N	-
36	นปช.	NN	NCMN	I_CLS	I_SENT	N	-
37	ระบุ	VV	VACT	I_CLS	I_SENT	N	-
38	_	PU	NCMN	I_CLS	I_SENT	N	-
39	มี	VV	VSTA	I_CLS	I_SENT	N	-
40	ยอด	NN	NCMN	I_CLS	I_SENT	N	-
41	รายชื่อ	NN	NCMN	I_CLS	I_SENT	N	-
42	ประชาชน	NN	NCMN	I_CLS	I_SENT	N	-
43	กว่า	AJ	JCMP	I_CLS	I_SENT	N	-
44	_	PU	NCMN	I_CLS	I_SENT	N	-
45	5	NU	DCNM	I_CLS	I_SENT	N	-
46	_	PU	PUNC	I_CLS	I_SENT	N	-
47	ล้าน	NU	NCMN	I_CLS	I_SENT	N	-
48	คน	CL	CNIT	I_CLS	I_SENT	N	-
49	เข้า	VV	VACT	I_CLS	I_SENT	N	-
50	ชื่อ	NN	NCMN	I_CLS	I_SENT	N	-
51	ถวาย	VV	NCMN	I_CLS	I_SENT	N	-
52	ฎีกาฯ	NN	NCMN	I_CLS	I_SENT	N	-
53	_	PU	NCMN	I_CLS	I_SENT	N	-
