0	สภาวิทย์	NN	NPRP	B_CLS	B_SENT	N	-
1	เล็ง	VV	NCMN	I_CLS	I_SENT	N	-
2	ปี	NN	NCMN	I_CLS	I_SENT	N	-
3	_	PU	PUNC	I_CLS	I_SENT	N	-
4	53	NU	NCNM	I_CLS	I_SENT	N	-
5	_	PU	PUNC	I_CLS	I_SENT	N	-
6	ออก	VV	VACT	I_CLS	I_SENT	N	-
7	ใบ	NN	NCMN	I_CLS	I_SENT	N	-
8	ประกอบ	VV	VSTA	I_CLS	I_SENT	N	-
9	วิชาชีพ	NN	NCMN	E_CLS	I_SENT	N	-

10	สภา	NN	NCMN	B_CLS	B_SENT	N	-
11	วิชาชีพ	NN	NCMN	I_CLS	I_SENT	N	-
12	วิทยาศาสตร์	NN	NCMN	I_CLS	I_SENT	N	-
13	ฯ	PU	PUNC	I_CLS	I_SENT	N	-
14	_	PU	NCMN	I_CLS	I_SENT	N	-
15	เผย	VV	VACT	I_CLS	I_SENT	N	-
16	กรอบ	NN	NCMN	I_CLS	I_SENT	N	-
17	ทำงาน	VV	VACT	I_CLS	I_SENT	N	-
18	ปี	NN	NCMN	I_CLS	I_SENT	N	-
19	แรก	NU	DONM	I_CLS	I_SENT	N	-
20	มุ่ง	VV	VACT	I_CLS	I_SENT	N	-
21	รับ	VV	VACT	I_CLS	I_SENT	N	-
22	ความ	FX	FIXN	I_CLS	I_SENT	N	-
23	คิดเห็น	VV	VSTA	E_CLS	I_SENT	N	-
24	และ	CC	JCRG	B_CLS	I_SENT	N	-
25	ข้อ	NN	NCMN	I_CLS	I_SENT	N	-
26	เสนอแนะ	VV	VACT	I_CLS	I_SENT	N	-
27	นัก	FX	ADVN	I_CLS	I_SENT	N	-
28	วิทยาศาสตร์	NN	NCMN	I_CLS	I_SENT	N	-
29	สมาชิก	NN	NCMN	I_CLS	I_SENT	N	-
30	_	PU	NCMN	I_CLS	I_SENT	N	-
31	ระบุ	VV	VACT	I_CLS	I_SENT	N	-
32	ปี	NN	NCMN	I_CLS	I_SENT	N	-
33	_	PU	PUNC	I_CLS	I_SENT	N	-
34	53	NU	NCNM	E_CLS	I_SENT	N	-
35	_	PU	PUNC	O	I_SENT	N	-
36	พร้อม	CC	VSTA	B_CLS	I_SENT	N	-
37	ออก	VV	XVAE	I_CLS	I_SENT	N	-
38	ใบ	NN	RPRE	I_CLS	I_SENT	N	-
39	อนุญาต	VV	NCMN	I_CLS	I_SENT	N	-
40	ประกอบ	VV	VSTA	I_CLS	I_SENT	N	-
41	วิชาชีพ	NN	NCMN	E_CLS	I_SENT	N	-
42	_	PU	NCMN	O	I_SENT	N	-
43	และ	CC	JCRG	B_CLS	I_SENT	Expansion.Conjunction	-
44	ผลักดัน	VV	NCMN	I_CLS	I_SENT	N	-
45	เพิ่ม	VV	VACT	I_CLS	I_SENT	N	-
46	ค่า	NN	NCMN	I_CLS	I_SENT	N	-
47	ตอบแทน	VV	NCMN	I_CLS	I_SENT	N	-
48	นัก	FX	NCMN	I_CLS	I_SENT	N	-
49	วิทย์	NN	NCMN	I_CLS	I_SENT	N	-
50	เสี่ยง	VV	VSTA	I_CLS	I_SENT	N	-
51	อันตราย	NN	NCMN	E_CLS	I_SENT	N	-

52	คณะ	NN	NCMN	B_CLS	B_SENT	N	-
53	รัฐมนตรี	NN	NCMN	I_CLS	I_SENT	N	-
54	มี	VV	VSTA	I_CLS	I_SENT	N	-
55	มติ	NN	NCMN	I_CLS	I_SENT	N	-
56	เห็นชอบ	VV	VACT	I_CLS	I_SENT	N	-
57	เมื่อ	PS	JSBR	I_CLS	I_SENT	N	-
58	วันที่	NN	NCMN	I_CLS	I_SENT	N	-
59	_	PU	NCMN	I_CLS	I_SENT	N	-
60	30	NU	NCNM	I_CLS	I_SENT	N	-
61	_	PU	NCMN	I_CLS	I_SENT	N	-
62	มิ.ย.	NN	CMTR	I_CLS	I_SENT	N	-
63	2552	NU	NCNM	E_CLS	I_SENT	N	-
64	_	PU	PUNC	O	I_SENT	N	-
65	ให้	CC	XVAM	B_CLS	I_SENT	N	-
66	จัดตั้ง	VV	VACT	I_CLS	I_SENT	N	-
67	_	PU	NCMN	I_CLS	I_SENT	N	-
