0	"	PU	PUNC	B_CLS	B_SENT	N	-
1	สุริยะ	NN	NCMN	I_CLS	I_SENT	N	-
2	"	PU	PUNC	I_CLS	I_SENT	N	-
3	เผย	VV	NCMN	I_CLS	I_SENT	N	-
4	ลูก	NN	VACT	I_CLS	I_SENT	N	-
5	พรรค	NN	NCMN	I_CLS	I_SENT	N	-
6	อยาก	VV	XVMM	I_CLS	I_SENT	N	-
7	หนุน	VV	NCMN	I_CLS	I_SENT	N	-
8	ทักษิณ	NN	NCMN	I_CLS	I_SENT	N	-
9	_	PU	NCMN	I_CLS	I_SENT	N	-
10	เป็น	VV	VSTA	I_CLS	I_SENT	N	-
11	นายก	NN	NCMN	I_CLS	I_SENT	N	-
12	รัฐมนตรี	NN	NCMN	I_CLS	I_SENT	N	-
13	ต่อ	VV	RPRE	E_CLS	I_SENT	N	-
14	แต่	CC	JCRG	B_CLS	I_SENT	Comparison.Concession.Arg2-As-Denier	-
15	ยัง	AX	XVBM	I_CLS	I_SENT	N	-
16	ไม่	NG	NEG	I_CLS	I_SENT	N	-
17	รับปาก	VV	VACT	E_CLS	I_SENT	N	-

18	พรรค	NN	NCMN	B_CLS	B_SENT	N	-
19	ไทยรักไทย	NN	NPRP	I_CLS	I_SENT	N	-
20	กอง	NN	NCMN	I_CLS	I_SENT	N	-
21	อำนวยการ	VV	NCMN	I_CLS	I_SENT	N	-
22	สู้	VV	NCMN	I_CLS	I_SENT	N	-
23	ศึก	NN	NCMN	I_CLS	I_SENT	N	-
24	เลือกตั้ง	VV	ADVN	I_CLS	I_SENT	N	-
25	แล้ว	AX	XVAE	E_CLS	I_SENT	N	-
26	_	PU	NCMN	O	I_SENT	N	-
27	ทั้ง	CC	DDBQ	B_CLS	I_SENT	Comparison.Concession.Arg1-As-Denier	-
28	ที่	CC	PREL	I_CLS	I_SENT	N	-
29	ยัง	AX	XVBM	I_CLS	I_SENT	N	-
30	ไม่	NG	NEG	I_CLS	I_SENT	N	-
31	ได้รับ	VV	VSTA	I_CLS	I_SENT	N	-
32	คำ	NN	NCMN	I_CLS	I_SENT	N	-
33	ตอบ	VV	VACT	I_CLS	I_SENT	N	-
34	ชัดเจน	VV	VATT	I_CLS	I_SENT	N	-
35	จาก	PS	RPRE	I_CLS	I_SENT	N	-
36	"	PU	PUNC	I_CLS	I_SENT	N	-
37	ทักษิณ	NN	NCMN	I_CLS	I_SENT	N	-
38	"	PU	PUNC	I_CLS	I_SENT	N	-
39	จะ	AX	XVBM	I_CLS	I_SENT	N	-
40	เว้นวรรค	VV	VSTA	I_CLS	I_SENT	N	-
41	การเมือง	NN	NCMN	I_CLS	I_SENT	N	-
42	หรือไม่	AV	EITT	E_CLS	I_SENT	N	-

43	เลขาธิการ	NN	NCMN	B_CLS	B_SENT	N	-
44	พรรค	NN	NCMN	I_CLS	I_SENT	N	-
45	เผย	VV	NCMN	I_CLS	I_SENT	N	-
46	อดีต	NN	NCMN	I_CLS	I_SENT	N	-
47	_	PU	NCMN	I_CLS	I_SENT	N	-
48	ส.ส.	NN	NCMN	E_CLS	I_SENT	N	-
49	และ	CC	JCRG	B_CLS	I_SENT	N	-
50	แกนนำ	NN	NCMN	I_CLS	I_SENT	N	-
51	พรรค	NN	NCMN	I_CLS	I_SENT	N	-
52	อยาก	VV	XVMM	I_CLS	I_SENT	N	-
53	ให้	AX	VACT	I_CLS	I_SENT	N	-
54	หัวหน้า	NN	NCMN	I_CLS	I_SENT	N	-
