0	กรอก	VV	VACT	B_CLS	B_SENT	N	-
1	ยา	NN	NCMN	I_CLS	I_SENT	N	-
2	ตาย	VV	VSTA	I_CLS	I_SENT	N	-
3	หนี	VV	NCMN	I_CLS	I_SENT	N	-
4	คดี	NN	NCMN	I_CLS	I_SENT	N	-
5	ยิง	VV	VACT	I_CLS	I_SENT	N	-
6	สส.	NN	NCMN	I_CLS	I_SENT	N	-
7	_	PU	NCMN	I_CLS	I_SENT	N	-
8	ทิ้ง	VV	VACT	I_CLS	I_SENT	N	-
9	จดหมาย	NN	NCMN	I_CLS	I_SENT	N	-
10	ปัด	VV	VACT	I_CLS	I_SENT	N	-
11	ใบ	NN	NCMN	I_CLS	I_SENT	N	-
12	สั่ง	VV	VACT	I_CLS	I_SENT	N	-
13	สว.	NN	NCMN	E_CLS	I_SENT	N	-

14	รวบ	VV	NCMN	B_CLS	B_SENT	N	-
15	_	PU	NCMN	I_CLS	I_SENT	N	-
16	4	NU	NCNM	I_CLS	I_SENT	N	-
17	_	PU	PUNC	I_CLS	I_SENT	N	-
18	ผู้ต้องหา	NN	NCMN	I_CLS	I_SENT	N	-
19	ฆ่า	VV	NCMN	I_CLS	I_SENT	N	-
20	_	PU	NCMN	I_CLS	I_SENT	N	-
21	"	PU	PUNC	I_CLS	I_SENT	N	-
22	กอบกุล	NN	NCMN	I_CLS	I_SENT	N	-
23	"	PU	PUNC	I_CLS	I_SENT	N	-
24	_	PU	NCMN	I_CLS	I_SENT	N	-
25	เผย	VV	VACT	I_CLS	I_SENT	N	-
26	ทำงาน	VV	VACT	I_CLS	I_SENT	N	-
27	กัน	AV	ADVN	I_CLS	I_SENT	N	-
28	เป็น	VV	VSTA	I_CLS	I_SENT	N	-
29	ทีม	NN	NCMN	I_CLS	I_SENT	N	-
30	_	PU	NCMN	I_CLS	I_SENT	N	-
31	มี	VV	VSTA	I_CLS	I_SENT	N	-
32	_	PU	NCMN	I_CLS	I_SENT	N	-
33	ผจก.	NN	NCMN	I_CLS	I_SENT	N	-
34	ตลาด	NN	NCMN	I_CLS	I_SENT	N	-
35	ศรีเมือง	NN	NCMN	I_CLS	I_SENT	N	-
36	คอย	VV	VACT	I_CLS	I_SENT	N	-
37	ชี้	VV	VACT	I_CLS	I_SENT	N	-
38	เป้า	NN	NCMN	E_CLS	I_SENT	N	-
39	_	PU	NCMN	O	I_SENT	N	-
40	ให้	CC	JSBR	B_CLS	I_SENT	N	-
41	กำนัน	NN	NCMN	I_CLS	I_SENT	N	-
42	ดัง	VV	RPRE	I_CLS	I_SENT	N	-
43	เมืองเพชร	NN	NCMN	E_CLS	I_SENT	N	-
44	และ	CC	JCRG	B_CLS	I_SENT	N	-
45	ลูกชาย	NN	NCMN	I_CLS	I_SENT	N	-
46	ลงมือ	VV	NCMN	I_CLS	I_SENT	N	-
47	ยิง	VV	NCMN	E_CLS	I_SENT	N	-

48	ขณะ	NN	NCMN	B_CLS	B_SENT	Temporal.Synchronous	-
49	คน	NN	NCMN	I_CLS	I_SENT	N	-
50	คอย	VV	VACT	I_CLS	I_SENT	N	-
51	รายงาน	VV	NCMN	I_CLS	I_SENT	N	-
52	ความ	FX	FIXN	I_CLS	I_SENT	N	-
53	เคลื่อนไหว	VV	VACT	I_CLS	I_SENT	N	-
54	ของ	PS	RPRE	I_CLS	I_SENT	N	-
55	เหยื่อ	NN	NCMN	I_CLS	I_SENT	N	-
56	_	PU	NCMN	I_CLS	I_SENT	N	-
57	ชิง	VV	NCMN	I_CLS	I_SENT	N	-
58	กิน	VV	VACT	I_CLS	I_SENT	N	-
59	ยา	NN	NCMN	I_CLS	I_SENT	N	-
60	ฆ่าตัวตาย	VV	NCMN	E_CLS	I_SENT	N	-
61	_	PU	NCMN	O	I_SENT	N	-
62	พร้อม	CC	VSTA	B_CLS	I_SENT	Expansion.Conjunction	-
63	เขียน	VV	VACT	I_CLS	I_SENT	N	-
64	จดหมาย	NN	NCMN	I_CLS	I_SENT	N	-
65	_	PU	NCMN	I_CLS	I_SENT	N	-
66	รับ	VV	VACT	I_CLS	I_SENT	N	-
67	ผิด	VV	NCMN	I_CLS	I_SENT	N	-
68	คน	CL	CNIT	I_CLS	I_SENT	N	-
69	เดียว	NU	DCNM	E_CLS	I_SENT	N	-
70	_	PU	NCMN	O	I_SENT	N	-
71	แต่	CC	JCRG	B_CLS	I_SENT	Comparison.Concession.Arg2-As-Denier	-
72	ยัง	AX	XVBM	I_CLS	I_SENT	N	-
73	ไม่	NG	NEG	I_CLS	I_SENT	N	-
74	ปักใจ	VV	VSTA	I_CLS	I_SENT	N	-
75	เชื่อ	VV	VSTA	E_CLS	I_SENT	N	-

76	ความ	FX	FIXN	B_CLS	B_SENT	N	-
77	คืบ	VV	NCMN	I_CLS	I_SENT	N	-
78	หน้า	NN	NCMN	I_CLS	I_SENT	N	-
79	คดี	NN	NCMN	I_CLS	I_SENT	N	-
80	คนร้าย	NN	NCMN	I_CLS	I_SENT	N	-
81	ใช้	VV	VACT	I_CLS	I_SENT	N	-
82	ปืน	NN	NCMN	I_CLS	I_SENT	N	-
83	เอ็ม_16	NN	NCMN	I_CLS	I_SENT	N	-
84	_	PU	NCMN	I_CLS	I_SENT	N	-
85	ยิง	VV	VACT	I_CLS	I_SENT	N	-
86	ถล่ม	VV	NCMN	I_CLS	I_SENT	N	-
87	_	PU	NCMN	I_CLS	I_SENT	N	-
88	นาง	NN	NTTL	I_CLS	I_SENT	N	-
89	กอบกุล	NN	NPRP	I_CLS	I_SENT	N	-
90	_	PU	NCMN	I_CLS	I_SENT	N	-
91	นพอมรบดี	NN	DDAC	I_CLS	I_SENT	N	-
92	_	PU	NCMN	I_CLS	I_SENT	N	-
93	อดีต	NN	NCMN	I_CLS	I_SENT	N	-
94	_	PU	NCMN	I_CLS	I_SENT	N	-
95	ส.ส.	NN	NCMN	I_CLS	I_SENT	N	-
96	พรรค	NN	NCMN	I_CLS	I_SENT	N	-
97	ไทยรักไทย	NN	NCMN	I_CLS	I_SENT	N	-
98	เขต	NN	NCMN	I_CLS	I_SENT	N	-
99	_	PU	PUNC	I_CLS	I_SENT	N	-
100	1	NU	NCNM	I_CLS	I_SENT	N	-
101	_	PU	PUNC	I_CLS	I_SENT	N	-
102	จ.	NN	NCMN	I_CLS	I_SENT	N	-
103	ราชบุรี	NN	NCMN	I_CLS	I_SENT	N	-
104	เสียชีวิต	VV	VSTA	I_CLS	I_SENT	N	-
105	ขณะ	NN	NCMN	I_CLS	I_SENT	Temporal.Synchronous	-
106	รถ	NN	VACT	I_CLS	I_SENT	N	-
107	จอด	VV	NCMN	I_CLS	I_SENT	N	-
108	ติด	VV	VSTA	I_CLS	I_SENT	N	-
109	สัญญาณ	NN	NCMN	I_CLS	I_SENT	N	-
110	ไฟ	NN	NCMN	I_CLS	I_SENT	N	-
111	จราจร	NN	VACT	I_CLS	I_SENT	N	-
112	_	PU	NCMN	I_CLS	I_SENT	N	-
113	เมื่อ	PS	JSBR	I_CLS	I_SENT	N	-
114	คืน	NN	VACT	I_CLS	I_SENT	N	-
115	วันที่	NN	NCMN	I_CLS	I_SENT	N	-
116	_	PU	NCMN	I_CLS	I_SENT	N	-
117	27	NU	NCNM	I_CLS	I_SENT	N	-
118	_	PU	NCMN	I_CLS	I_SENT	N	-
119	พฤษภาคม	NN	NCMN	E_CLS	I_SENT	N	-
120	ที่	CC	PREL	B_CLS	I_SENT	N	-
121	ผ่าน	VV	VSTA	I_CLS	I_SENT	N	-
122	มา	AV	XVAE	I_CLS	I_SENT	N	-
123	_	PU	NCMN	I_CLS	I_SENT	N	-
124	ตำรวจ	NN	NCMN	I_CLS	I_SENT	N	-
125	ใกล้	VV	VATT	I_CLS	I_SENT	N	-
126	สาว	VV	NCMN	I_CLS	I_SENT	N	-
