0	กรอก	VV	VACT	B_CLS	B_SENT	N	-	-
1	ยา	NN	NCMN	I_CLS	I_SENT	N	-	-
2	ตาย	VV	VSTA	I_CLS	I_SENT	N	-	-
3	หนี	VV	NCMN	I_CLS	I_SENT	N	-	-
4	คดี	NN	NCMN	I_CLS	I_SENT	N	-	-
5	ยิง	VV	VACT	I_CLS	I_SENT	N	-	-
6	สส.	NN	NCMN	I_CLS	I_SENT	N	-	-
7	_	PU	NCMN	I_CLS	I_SENT	N	-	-
8	ทิ้ง	VV	VACT	I_CLS	I_SENT	N	-	-
9	จดหมาย	NN	NCMN	I_CLS	I_SENT	N	-	-
10	ปัด	VV	VACT	I_CLS	I_SENT	N	-	-
11	ใบ	NN	NCMN	I_CLS	I_SENT	N	-	-
12	สั่ง	VV	VACT	I_CLS	I_SENT	N	-	-
13	สว.	NN	NCMN	E_CLS	I_SENT	N	-	-

14	รวบ	VV	NCMN	B_CLS	B_SENT	N	-	arg1[71]
15	_	PU	NCMN	I_CLS	I_SENT	N	-	arg1[71]
16	4	NU	NCNM	I_CLS	I_SENT	N	-	arg1[71]
17	_	PU	PUNC	I_CLS	I_SENT	N	-	arg1[71]
18	ผู้ต้องหา	NN	NCMN	I_CLS	I_SENT	N	-	arg1[71]
19	ฆ่า	VV	NCMN	I_CLS	I_SENT	N	-	arg1[71]
20	_	PU	NCMN	I_CLS	I_SENT	N	-	arg1[71]
21	"	PU	PUNC	I_CLS	I_SENT	N	-	arg1[71]
22	กอบกุล	NN	NCMN	I_CLS	I_SENT	N	-	arg1[71]
23	"	PU	PUNC	I_CLS	I_SENT	N	-	arg1[71]
24	_	PU	NCMN	I_CLS	I_SENT	N	-	arg1[71]
25	เผย	VV	VACT	I_CLS	I_SENT	N	-	arg1[71]
26	ทำงาน	VV	VACT	I_CLS	I_SENT	N	-	arg1[71]
27	กัน	AV	ADVN	I_CLS	I_SENT	N	-	arg1[71]
28	เป็น	VV	VSTA	I_CLS	I_SENT	N	-	arg1[71]
29	ทีม	NN	NCMN	I_CLS	I_SENT	N	-	arg1[71]
30	_	PU	NCMN	I_CLS	I_SENT	N	-	arg1[71]
31	มี	VV	VSTA	I_CLS	I_SENT	N	-	arg1[71]|arg1[48]
32	_	PU	NCMN	I_CLS	I_SENT	N	-	arg1[71]|arg1[48]
33	ผจก.	NN	NCMN	I_CLS	I_SENT	N	-	arg1[71]|arg1[48]
34	ตลาด	NN	NCMN	I_CLS	I_SENT	N	-	arg1[71]|arg1[48]
35	ศรีเมือง	NN	NCMN	I_CLS	I_SENT	N	-	arg1[71]|arg1[48]
36	คอย	VV	VACT	I_CLS	I_SENT	N	-	arg1[71]|arg1[48]
37	ชี้	VV	VACT	I_CLS	I_SENT	N	-	arg1[71]|arg1[48]
38	เป้า	NN	NCMN	E_CLS	I_SENT	N	-	arg1[71]|arg1[48]
39	_	PU	NCMN	O	I_SENT	N	-	arg1[71]|arg1[48]
40	ให้	CC	JSBR	B_CLS	I_SENT	N	-	arg1[71]|arg1[48]
41	กำนัน	NN	NCMN	I_CLS	I_SENT	N	-	arg1[71]|arg1[48]
42	ดัง	VV	RPRE	I_CLS	I_SENT	N	-	arg1[71]|arg1[48]
43	เมืองเพชร	NN	NCMN	E_CLS	I_SENT	N	-	arg1[71]|arg1[48]
44	และ	CC	JCRG	B_CLS	I_SENT	N	-	arg1[71]|arg1[48]
45	ลูกชาย	NN	NCMN	I_CLS	I_SENT	N	-	arg1[71]|arg1[48]
46	ลงมือ	VV	NCMN	I_CLS	I_SENT	N	-	arg1[71]|arg1[48]
47	ยิง	VV	NCMN	E_CLS	I_SENT	N	-	arg1[71]|arg1[48]

48	ขณะ	NN	NCMN	B_CLS	B_SENT	Temporal.Synchronous	-	arg1[71]
49	คน	NN	NCMN	I_CLS	I_SENT	N	-	arg1[71]|arg2[48]
50	คอย	VV	VACT	I_CLS	I_SENT	N	-	arg1[71]|arg2[48]
51	รายงาน	VV	NCMN	I_CLS	I_SENT	N	-	arg1[71]|arg2[48]
52	ความ	FX	FIXN	I_CLS	I_SENT	N	-	arg1[71]|arg2[48]
53	เคลื่อนไหว	VV	VACT	I_CLS	I_SENT	N	-	arg1[71]|arg2[48]
54	ของ	PS	RPRE	I_CLS	I_SENT	N	-	arg1[71]|arg2[48]
55	เหยื่อ	NN	NCMN	I_CLS	I_SENT	N	-	arg1[71]|arg2[48]
56	_	PU	NCMN	I_CLS	I_SENT	N	-	arg1[71]|arg2[48]
57	ชิง	VV	NCMN	I_CLS	I_SENT	N	-	arg1[71]|arg2[48]|arg1[62]
58	กิน	VV	VACT	I_CLS	I_SENT	N	-	arg1[71]|arg2[48]|arg1[62]
59	ยา	NN	NCMN	I_CLS	I_SENT	N	-	arg1[71]|arg2[48]|arg1[62]
60	ฆ่าตัวตาย	VV	NCMN	E_CLS	I_SENT	N	-	arg1[71]|arg2[48]|arg1[62]
61	_	PU	NCMN	O	I_SENT	N	-	arg1[71]|arg2[48]|arg1[62]
62	พร้อม	CC	VSTA	B_CLS	I_SENT	Expansion.Conjunction	-	arg1[71]|arg2[48]
63	เขียน	VV	VACT	I_CLS	I_SENT	N	-	arg1[71]|arg2[48]|arg2[62]
64	จดหมาย	NN	NCMN	I_CLS	I_SENT	N	-	arg1[71]|arg2[48]|arg2[62]
65	_	PU	NCMN	I_CLS	I_SENT	N	-	arg1[71]|arg2[48]|arg2[62]
66	รับ	VV	VACT	I_CLS	I_SENT	N	-	arg1[71]|arg2[48]|arg2[62]
67	ผิด	VV	NCMN	I_CLS	I_SENT	N	-	arg1[71]|arg2[48]|arg2[62]
68	คน	CL	CNIT	I_CLS	I_SENT	N	-	arg1[71]|arg2[48]|arg2[62]
69	เดียว	NU	DCNM	E_CLS	I_SENT	N	-	arg1[71]|arg2[48]|arg2[62]
70	_	PU	NCMN	O	I_SENT	N	-	arg1[71]|arg2[48]|arg2[62]
71	แต่	CC	JCRG	B_CLS	I_SENT	Comparison.Concession.Arg2-As-Denier	-	-
72	ยัง	AX	XVBM	I_CLS	I_SENT	N	-	arg2[71]
73	ไม่	NG	NEG	I_CLS	I_SENT	N	-	arg2[71]
74	ปักใจ	VV	VSTA	I_CLS	I_SENT	N	-	arg2[71]
75	เชื่อ	VV	VSTA	E_CLS	I_SENT	N	-	arg2[71]

76	ความ	FX	FIXN	B_CLS	B_SENT	N	-	-
77	คืบ	VV	NCMN	I_CLS	I_SENT	N	-	-
78	หน้า	NN	NCMN	I_CLS	I_SENT	N	-	-
79	คดี	NN	NCMN	I_CLS	I_SENT	N	-	-
80	คนร้าย	NN	NCMN	I_CLS	I_SENT	N	-	arg1[105]
81	ใช้	VV	VACT	I_CLS	I_SENT	N	-	arg1[105]
82	ปืน	NN	NCMN	I_CLS	I_SENT	N	-	arg1[105]
83	เอ็ม_16	NN	NCMN	I_CLS	I_SENT	N	-	arg1[105]
84	_	PU	NCMN	I_CLS	I_SENT	N	-	arg1[105]
85	ยิง	VV	VACT	I_CLS	I_SENT	N	-	arg1[105]
86	ถล่ม	VV	NCMN	I_CLS	I_SENT	N	-	arg1[105]
87	_	PU	NCMN	I_CLS	I_SENT	N	-	arg1[105]
88	นาง	NN	NTTL	I_CLS	I_SENT	N	-	arg1[105]
89	กอบกุล	NN	NPRP	I_CLS	I_SENT	N	-	arg1[105]
90	_	PU	NCMN	I_CLS	I_SENT	N	-	arg1[105]
91	นพอมรบดี	NN	DDAC	I_CLS	I_SENT	N	-	arg1[105]
92	_	PU	NCMN	I_CLS	I_SENT	N	-	arg1[105]
93	อดีต	NN	NCMN	I_CLS	I_SENT	N	-	arg1[105]
94	_	PU	NCMN	I_CLS	I_SENT	N	-	arg1[105]
95	ส.ส.	NN	NCMN	I_CLS	I_SENT	N	-	arg1[105]
96	พรรค	NN	NCMN	I_CLS	I_SENT	N	-	arg1[105]
